6.92 7.22 5.32 6.28 8.24 6.92 6.11 6.87 7.56 7.3 7.13 7.68 8.78 8.39 7.03 8.04 7.52
6.6 6.96 6.28 6.78 6.81 6.7 6.7 5.02 5.68 6.96 7.64 9.61 8.32 8.16 8.38 8.04 8.15
5.85 6.6 7.16 7.25 6.23 5.75 6.56 5.96 5.42 6.42 6.75 7.82 8.67 8.31 8.88 8.47 8.96
6.51 6.59 7.29 6.22 5.62 6.56 5.22 5.56 5.66 5.62 6.09 7.4 7.78 8.26 9.24 8.41 7.19
6.73 6.45 6.47 6.54 6.66 6.77 6.18 4.91 4.88 5.83 5.77 6.88 7.69 8.44 9.29 7.69 7.76
6.65 6.98 5.69 5.96 7.29 7.41 5.88 4.4 5.61 6.45 6.07 5.66 7.8 7.86 7.47 7.78 8.16
6.44 5.08 5.65 6.06 7.06 6.86 5.37 5.29 5.99 5.67 5.03 7.25 8.41 7.35 6.54 7.16 7.73
6.01 5.89 5.31 6.86 6.35 5.64 5.48 5.8 5.29 5.36 6.54 6.62 6.7 6.67 6.9 7.46 8.15
4.95 5.3 6.1 6.69 6.39 5.3 5.5 5.7 6.61 5.83 4.73 6.25 7.04 5.38 6 8.59 8.57
6.62 5.67 4.76 5.16 5.51 5.44 5.39 7.05 6.75 5.79 5.68 5.3 5.64 5.87 6.45 7.76 8.22
5.17 4.79 4.61 5.13 6.26 5.42 6.18 6.95 6.24 5.21 5.79 5.88 5.06 5.8 5.43 6.19 7.69
4.47 4.55 4.75 4.81 4.75 6.88 6.88 5.63 5.47 4.76 5.41 6.39 6.27 5.87 5.55 6.33 7.49
4.42 5.25 5.6 4.84 4.99 6.33 6.45 5.56 5.55 5.49 4.39 5.92 5.51 5.64 5.61 5.72 7.55
3.69 4.15 5.3 6.62 6.66 5.27 5.89 6.36 5.01 5.57 5.17 5.68 5.88 4.77 6 5.98 6.25
5.02 4.6 6.23 5.91 5.09 4.99 5.07 6.88 6.74 5.68 5.42 4.18 4.89 5.11 5.78 7.66 6.99
5.56 4.93 6.14 7.72 5.89 5.11 4.98 5.93 7.21 5.46 5.89 5.41 4.35 4.61 4.65 5.79 7.65
3.4 4.65 5.32 6.4 6.78 5.48 6.27 6.8 5.8 5.77 5.48 5.92 4.94 4.87 5.25 5.55 6.56
