1.12 2.47 2.6 2.05 0.95 0.58 0.93 1.38 2.28 2.49 2.62 3.01 3.57 4.41 5.17 5.62 5.88 5.74 5.45 4.85 4.22 3.6 3.13 2.93 2.77 2.3 1.71 1.11 0.91 0.75 0.71 0.88 1.18 0.84 0.61 0.49 0.82 1.49 1.76 1.95 1.73 1.45
0 0.95 2.65 2.95 1.6 0.58 0.93 1.69 2.54 2.73 2.9 3.31 3.9 4.78 5.45 5.71 5.7 5.42 5.05 4.4 3.8 3.27 2.93 2.78 2.64 2.22 1.7 1.26 1.19 1.08 0.69 0.58 0.96 1.36 1.08 0.77 0.96 1.8 1.97 1.9 1.5 1.22
0 0.06 1.98 3.6 2.16 0.77 1.08 2.03 2.85 3.04 3.31 3.9 4.6 5.37 5.5 5.22 4.6 3.96 3.27 2.44 2.05 1.78 1.67 1.69 1.72 1.73 1.65 1.61 1.76 1.82 1.45 1.42 1.56 1.71 1.82 1.82 2.01 2.56 2.37 1.85 1.44 1.25
0 0 1.67 3.52 2.51 1.27 1.5 2.43 3.13 3.34 3.84 4.65 5.29 5.59 4.98 4.29 3.3 2.42 1.67 0.96 0.72 0.67 0.7 0.83 0.89 1.17 1.38 1.56 1.92 2.27 2.52 2.35 2.19 2.06 2.43 2.8 3.11 2.81 2.28 1.71 1.54 1.48
0 0 1.49 3.38 2.84 1.88 2.05 2.78 3.34 3.57 4.3 5.17 5.5 5.24 4.39 3.72 2.76 1.86 1.15 0.73 0.66 0.66 0.77 0.91 0.89 1.11 1.31 1.45 1.78 2.15 2.5 2.35 2.19 2.06 2.44 2.82 3.07 2.59 2.06 1.61 1.53 1.47
0 0 1.94 3.73 3.23 2.54 2.6 3.03 3.42 3.6 4.41 5.04 4.62 3.18 2.18 1.82 1 0.25 0.39 0.71 0.7 0.71 0.75 0.75 0.4 0.66 1.16 1.58 1.85 2.11 2.39 2.27 2.11 1.96 2.08 2.12 2.08 1.78 1.5 1.31 1.28 1.2
0 1.45 3.74 4.18 3.4 2.69 2.56 2.88 3.29 3.35 3.74 3.98 3.71 2.84 2.08 1.53 0.66 1.18 1.56 1.71 1.62 1.52 1.44 1.29 0.92 0.53 1.06 1.78 1.99 2.13 2.28 2.19 2.04 1.83 1.54 1.24 1 1.01 1.02 1.02 0.98 0.9
1.14 3.49 4.12 3.87 3.14 2.5 2.37 2.76 3.23 3.23 3.25 3.19 3.08 2.71 2.3 1.6 0.63 1.43 1.63 1.72 1.69 1.64 1.65 1.55 1.36 1.22 1.53 1.92 2 2.13 2.28 2.22 2.08 1.85 1.47 1.12 0.87 0.93 0.97 0.98 0.92 0.84
3.36 4.37 3.77 3.45 2.75 2.18 2.08 2.53 2.98 2.88 2.62 2.44 2.44 2.46 2.5 1.82 1.08 1.74 1.28 1.03 1.24 1.34 1.61 1.69 1.78 1.92 1.99 1.4 0.86 0.85 0.89 1.11 1.04 0.83 0.64 0.52 0.35 0.53 0.59 0.59 0.47 0.34
4.61 4.03 3.35 2.99 2.36 1.89 1.79 2.03 2.23 2.34 2.73 2.85 2.64 2.13 1.92 1.76 1.44 1.34 0.61 0.7 1.15 1.37 1.68 1.8 1.78 1.67 1.66 1.12 0.68 0.73 0.86 1.2 1.21 1.03 0.72 0.51 0.33 0.45 0.36 0.17 0.19 0.4
4.34 3.74 3.05 2.67 2.11 1.75 1.62 1.62 1.57 1.81 2.7 3.22 2.84 1.85 1.39 1.54 1.42 1.05 0.47 0.95 1.34 1.52 1.79 1.88 1.68 1.32 1.27 0.96 0.79 0.91 1.11 1.41 1.41 1.02 0.82 0.64 0.54 0.63 0.46 0.12 0.37 0.48
3.87 3.2 2.74 2.6 2.37 2.11 1.94 1.75 1.44 1.43 2.58 3.55 3.03 1.59 0.84 0.96 0.77 0.26 0.5 1.28 1.57 1.69 1.86 1.91 1.49 1.06 1.14 1.17 1.14 1.17 1.31 1.36 1 0.42 0.38 0.35 0.56 0.73 0.54 0.17 0.41 0.24
3.33 2.79 2.75 2.89 2.86 2.58 2.41 2.27 2.24 2.29 2.65 2.8 2.33 1.47 0.84 0.74 0.58 0.74 1.27 1.54 1.47 1.4 1.41 1.54 1.52 1.47 1.6 1.7 1.6 1.52 1.44 0.92 0.32 0.13 0.3 0.46 0.54 0.56 0.44 0.26 0.24 0.05
3.05 2.66 2.84 2.98 2.86 2.53 2.36 2.25 2.25 2.27 2.28 1.94 1.58 1.31 0.99 0.96 1.02 1.22 1.52 1.49 1.22 1.01 0.88 1.07 1.38 1.52 1.67 1.8 1.7 1.6 1.48 0.81 0.27 0.48 0.58 0.55 0.47 0.29 0.28 0.28 0.09 0.06
