8.33 9.85 8.49 8.71 9.33 11.48 10.9 8.21 7.66 7.42 7.56
7.93 8.01 8.9 8.68 8.02 7.8 9.9 8.11 7.69 9.5 7.1
7.75 7.27 9 8.51 7.93 8.03 8.14 9.63 9.58 7.89 7.64
8.34 8.77 7.34 7.26 8.11 7.75 7.36 8.61 8.86 10.08 8.01
8.49 12.53 11.52 11.44 15.52 11.85 8.25 7.64 7.61 11.11 7.82
11.9 11.39 12.52 12.19 8.21 12.72 14.44 9.44 9.26 8.14 8.62
8.15 8.42 10.65 10.05 10.3 10.68 14.93 14.92 10.4 8.31 8.85
8.97 10.84 9.2 10.62 8.11 8.53 13.05 9999 9999 8.06 8.74
11.95 8.82 8.68 9.1 9.9 8.63 9.17 13.92 9999 7.4 8.95
8.77 9.32 8.31 8.07 9.53 10.07 8.04 10.39 12.26 7.37 7.35
9.93 8.65 8.21 7.4 9.56 14.36 11.96 12.24 8.41 9.5 9.35
