Jan_tmp Feb_tmp Mar_tmp Apr_tmp Mai_tmp Jun_tmp Jul_tmp Aug_tmp Sep_tmp Okt_tmp Nov_tmp Dez_tmp
-30.78 -23.78 -13.28 -6.18 5.62 14.62 19.42 16.22 7.72 -6.28 -16.88 -37.28
-31.98 -24.58 -17.78 -7.88 3.42 14.32 18.12 13.92 9.02 -5.78 -18.48 -29.38
-28.58 -21.18 -14.48 -5.18 5.12 13.22 22.12 14.12 6.32 -5.38 -18.48 -33.48
-29.38 -32.18 -16.18 -4.08 5.32 12.42 17.82 14.12 6.32 -6.18 -11.18 -26.98
-21.58 -28.08 -15.88 -6.38 3.72 12.82 21.02 14.32 6.12 -4.78 -16.48 -32.38
-37.68 -30.68 -14.98 -2.48 4.92 15.82 19.32 17.62 7.52 -2.88 -22.98 -24.98
-33.98 -28.78 -15.78 -3.08 5.42 13.02 17.02 15.92 7.72 -4.48 -20.78 -32.58
-32.68 -26.68 -19.38 -4.88 6.52 16.52 22.62 14.52 8.52 -2.08 -21.78 -29.28
-34.88 -29.28 -20.78 -7.68 4.62 13.22 20.32 16.22 5.62 -4.88 -23.58 -29.98
-33.38 -25.08 -19.18 -5.68 4.72 14.62 21.82 16.02 6.82 -4.18 -24.78 -36.88
-31.48 -29.08 -20.08 -3.98 5.22 13.32 18.92 16.22 5.82 -1.08 -17.38 -32.68
-27.18 -27.98 -20.68 -4.48 5.22 14.02 21.12 12.62 5.62 -8.08 -21.38 -31.08
-29.48 -31.28 -16.48 -7.08 5.12 15.62 17.72 13.02 7.32 -2.68 -21.68 -25.38
-25.58 -23.98 -21.18 -3.68 5.12 14.12 21.32 16.42 8.32 -4.48 -24.88 -26.28
-41.28 -31.78 -18.88 -6.88 5.52 13.02 20.22 12.82 5.22 -6.98 -17.08 -30.28
-29.48 -29.08 -17.88 -6.68 4.62 12.52 19.82 15.32 6.12 -2.68 -17.78 -38.98
-31.08 -25.68 -15.78 -4.98 7.52 15.92 19.82 13.92 7.02 -6.48 -20.68 -32.78
